display(log)
check(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/../model1.txt)
model is syntactically correct
data(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/data.txt)
data loaded
compile(2)
model compiled
inits(1,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/inits1.txt)
this chain contains uninitialized variables
inits(2,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/inits2.txt)
this chain contains uninitialized variables
gen.inits()
initial values generated, model initialized
thin.updater(1)
update(2500)
set(mu.y1)
set(mu.y2)
set(lam1)
set(lam2)
set(sgm1)
set(sgm2)
set(sgd1)
set(sgd2)
set(gam1)
set(gam2)
set(phx1)
set(phx2)
set(deviance)
dic.set()
update(2500)
coda(*,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	mu.y2[14]	0.002605	0.02076	0.001091	-0.0387	0.002627	0.04368	2501	5000
	mu.y2[15]	0.002038	0.02203	0.00117	-0.04165	0.002395	0.04475	2501	5000
	mu.y2[16]	-0.007683	0.02079	0.001025	-0.04876	-0.007484	0.03294	2501	5000
	mu.y2[17]	0.006753	0.02055	0.001005	-0.03469	0.007097	0.04619	2501	5000
	phx1[1,1]	0.9143	0.1597	0.01305	0.667	0.8918	1.288	2501	5000
	phx1[1,2]	-0.1742	0.04586	0.001989	-0.2728	-0.1715	-0.09148	2501	5000
	phx1[1,3]	-0.009142	0.04008	0.001164	-0.08863	-0.008764	0.06946	2501	5000
	phx1[2,1]	-0.1742	0.04586	0.001989	-0.2728	-0.1715	-0.09148	2501	5000
	phx1[2,2]	0.9254	0.1112	0.008145	0.732	0.919	1.16	2501	5000
	phx1[2,3]	-0.4979	0.04925	0.002368	-0.5971	-0.4951	-0.406	2501	5000
	phx1[3,1]	-0.009142	0.04008	0.001164	-0.08863	-0.008764	0.06946	2501	5000
	phx1[3,2]	-0.4979	0.04925	0.002368	-0.5971	-0.4951	-0.406	2501	5000
	phx1[3,3]	0.9532	0.05819	0.001888	0.8421	0.9517	1.072	2501	5000
	phx2[1,1]	0.956	0.1502	0.01277	0.7194	0.9336	1.297	2501	5000
	phx2[1,2]	-0.212	0.04715	0.00214	-0.3102	-0.2099	-0.1248	2501	5000
	phx2[1,3]	-0.007053	0.03658	0.001168	-0.08202	-0.007094	0.0656	2501	5000
	phx2[2,1]	-0.212	0.04715	0.00214	-0.3102	-0.2099	-0.1248	2501	5000
	phx2[2,2]	1.011	0.1122	0.007744	0.8034	1.005	1.242	2501	5000
	phx2[2,3]	-0.4538	0.04578	0.001835	-0.5474	-0.4515	-0.3693	2501	5000
	phx2[3,1]	-0.007053	0.03658	0.001168	-0.08202	-0.007094	0.0656	2501	5000
	phx2[3,2]	-0.4538	0.04578	0.001835	-0.5474	-0.4515	-0.3693	2501	5000
	phx2[3,3]	0.9077	0.05054	0.001481	0.8128	0.9065	1.012	2501	5000
	sgd1	0.7796	0.247	0.02295	0.3632	0.7656	1.297	2501	5000
	sgd2	0.6204	0.1504	0.01272	0.3512	0.6088	0.9474	2501	5000
	sgm1[1]	0.7963	0.2685	0.02403	0.3662	0.7501	1.385	2501	5000
	sgm1[2]	0.981	0.1404	0.007946	0.7351	0.9743	1.281	2501	5000
	sgm1[3]	1.105	0.1491	0.008378	0.8492	1.093	1.416	2501	5000
	sgm1[4]	0.7769	0.0993	0.005715	0.6057	0.7694	0.9861	2501	5000
	sgm1[5]	1.021	0.137	0.008623	0.7956	1.005	1.325	2501	5000
	sgm1[6]	1.093	0.1416	0.007998	0.8434	1.084	1.399	2501	5000
	sgm1[7]	0.826	0.07775	0.003157	0.6845	0.8216	0.9923	2501	5000
	sgm1[8]	0.9738	0.09474	0.004386	0.8025	0.9692	1.168	2501	5000
	sgm1[9]	1.076	0.1131	0.005456	0.8791	1.066	1.323	2501	5000
	sgm1[10]	1.178	0.1152	0.00449	0.962	1.172	1.427	2501	5000
	sgm1[11]	1.187	0.1156	0.004631	0.9781	1.18	1.433	2501	5000
	sgm1[12]	0.2639	0.02467	0.001058	0.2182	0.2631	0.313	2501	5000
	sgm1[13]	0.1944	0.009642	1.738E-4	0.1762	0.1941	0.2135	2501	5000
	sgm1[14]	0.2023	0.009802	1.629E-4	0.1839	0.2021	0.2221	2501	5000
	sgm1[15]	0.207	0.009798	1.867E-4	0.1886	0.2068	0.227	2501	5000
	sgm1[16]	0.2007	0.009557	1.624E-4	0.1829	0.2005	0.2202	2501	5000
	sgm1[17]	0.1963	0.009453	1.699E-4	0.1788	0.196	0.2154	2501	5000
	sgm2[1]	0.6033	0.1606	0.01384	0.3405	0.5878	0.9584	2501	5000
	sgm2[2]	0.7116	0.09314	0.005715	0.5546	0.7022	0.9103	2501	5000
	sgm2[3]	0.9066	0.1234	0.008013	0.686	0.8983	1.167	2501	5000
	sgm2[4]	0.7498	0.1106	0.00689	0.5567	0.7405	0.983	2501	5000
	sgm2[5]	0.7107	0.1043	0.006342	0.5321	0.7012	0.9353	2501	5000
	sgm2[6]	0.7974	0.117	0.007706	0.6036	0.784	1.069	2501	5000
	sgm2[7]	0.6872	0.0727	0.003387	0.5561	0.6836	0.8463	2501	5000
	sgm2[8]	0.5783	0.06268	0.002719	0.466	0.5758	0.7074	2501	5000
	sgm2[9]	0.646	0.06162	0.002694	0.5365	0.6427	0.7768	2501	5000
	sgm2[10]	0.7464	0.07909	0.003876	0.6033	0.7422	0.9194	2501	5000
	sgm2[11]	0.7704	0.07889	0.003544	0.6319	0.7663	0.9368	2501	5000
	sgm2[12]	0.2188	0.01548	4.238E-4	0.1898	0.2185	0.2501	2501	5000
	sgm2[13]	0.1965	0.009944	1.937E-4	0.1776	0.1962	0.2168	2501	5000
	sgm2[14]	0.2033	0.01018	1.781E-4	0.1842	0.203	0.2238	2501	5000
	sgm2[15]	0.205	0.01041	1.978E-4	0.1852	0.2048	0.2265	2501	5000
	sgm2[16]	0.2043	0.01027	1.957E-4	0.1852	0.2039	0.2254	2501	5000
	sgm2[17]	0.2136	0.01057	1.943E-4	0.1937	0.2132	0.2351	2501	5000
dic.stats()

DIC
Dbar = post.mean of -2logL; Dhat = -2LogL at post.mean of stochastic nodes
	Dbar	Dhat	pD	DIC	
y1	16264.300	14615.200	1649.080	17913.300	
y2	13495.600	11855.300	1640.340	15136.000	
z1	7480.450	6655.620	824.833	8305.280	
z2	7401.570	6501.650	899.920	8301.490	
total	44641.900	39627.800	5014.170	49656.100	
history(*,D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/history.odc)

History

save(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/log.odc)
save(D:/OneDrive/OneDrive - sjtu.edu.cn/Records/CUHK/Course/STAT5020/codes/finalproj/sim_model1_3/log.txt)
